            column_name            |                 table_name                 
-----------------------------------+--------------------------------------------
 accepted_user_id                  | team_member_invites
 account_id                        | ledger_transactions
 action_zendesk_id                 | ts_actions
 address_id                        | pickup_details
 address_id                        | ts_addresses
 address_id                        | validated_addresses
 affiliate_impact_id               | impact_clicks
 applied_interest_id               | feed_pivot_configs
 assigned_break_spot_id            | break_spot_options
 average_winning_bid               | ad_auctions
 banned_user_id                    | banned_user_related_sellers
 billing_address_id                | cards
 billing_address_id                | orders
 billing_address_id                | users
 blocked_user_id                   | user_blocking
 blocker_user_id                   | user_blocking
 brand_id                          | catalog_products
 brand_id                          | category_brands
 brand_id                          | product_franchises
 brand_id                          | products
 break_id                          | break_spot_options
 break_id                          | break_spots
 bundle_config_shipping_profile_id | shipments
 buyer_id                          | break_spots
 buyer_id                          | buyer_default_shipping_settings
 buyer_id                          | buyer_livestream_shipping_settings
 buyer_id                          | buyer_seller_shipping_settings
 buyer_id                          | cancellation_requests
 buyer_id                          | pickup_requests
 buyer_id                          | rating_answers
 buyer_id                          | refund_requests
 buyer_id                          | refund_requests_groups
 buyer_id                          | seller_notes
 buyer_id                          | seller_review_response
 buyer_user_id                     | hits
 c_oid                             | awsdms_ddl_audit
 card_id                           | card_blocks
 catalog_product_id                | listings
 category_id                       | catalog_product_categories
 category_id                       | category_brands
 category_id                       | category_catalog_product_types
 category_id                       | category_dependant_codes
 category_id                       | category_shipping_profile_association
 category_id                       | keyword_landing_pages
 category_id                       | live_access_restrictions
 category_id                       | products
 category_id                       | seller_application_states
 classifier_type_id                | classifier_values
 classifier_type_id                | product_classifiers
 classifier_type_id                | profile_type_classifiers
 classifier_value_id               | product_classifiers
 classifier_value_id               | profile_type_classifier_values
 clipper_id                        | live_clips
 cohost_id                         | live_clips
 contributing_user_id              | community_boost_contributions
 conversation_group_id             | conversation_group_participants
 conversation_group_id             | new_seller_group_conversation
 coupon_id                         | coupon_claims
 coupon_id                         | coupon_usages
 coupon_id                         | paid_coupon_data
 created_from_id                   | listings
 current_bid                       | ad_auctions
 current_bid                       | ad_bidding
 current_bidder_id                 | auction_info
 custom_address_id                 | gifting_preferences
 default_card_id                   | users
 default_shipping_address_id       | users
 entity_id                         | entity_restrictions
 entity_int_id                     | op_reviews
 entry_id                          | raffle_drop_entry_listings
 entry_id                          | raffle_drop_entry_orders
 execute_after_id                  | taxonomy_cron_job
 external_entity_id                | delayed_action_jobs
 external_entity_id                | shipment_items
 external_entity_id                | shipping_labels
 external_id                       | external_product_taxonomy
 failed_payment_id                 | listings
 first_seller_id                   | new_seller_group_conversation
 followee_id                       | user_follows
 follower_id                       | user_follows
 former_bt_card_id                 | cards
 franchise_id                      | products
 friend_user_id                    | friends
 from_user_id                      | ledger_transactions
 gifting_address_id                | user_preferences
 group_creator_id                  | conversation_groups
 group_id                          | refund_requests
 home_address_id                   | users
 image_id                          | categories
 image_id                          | livestream_tags
 imageable_id                      | images
 input_line_item_id                | tax_line_items
 internal_category_id              | external_product_taxonomy
 internal_user_id                  | user_external_oauth_ids
 invoice_id                        | community_boost_contributions
 invoice_id                        | invoice_line_items
 invoice_id                        | tips
 last_seller_id                    | new_seller_group_conversation
 ledger_id                         | referrer_seen_credit_received
 ledger_transaction_id             | community_boost_contributions
 ledger_transaction_id             | coupon_usages
 ledger_transaction_id             | payouts
 ledger_transaction_id             | referral_challenge_milestone_progress
 ledger_transaction_id             | referral_challenge_referred_user
 ledger_transaction_id             | seller_incentive
 ledger_transaction_id             | tips
 listing_condition_id              | listings
 listing_condition_id              | order_items
 listing_id                        | api_listing_attributes
 listing_id                        | auction_bidders
 listing_id                        | auction_info
 listing_id                        | break_spots
 listing_id                        | breaks
 listing_id                        | bulk_imported_listings
 listing_id                        | deal_proposal
 listing_id                        | intakes
 listing_id                        | ledger_transactions
 listing_id                        | listing_actions
 listing_id                        | listing_bpo_review_record
 listing_id                        | listing_properties
 listing_id                        | listing_review
 listing_id                        | live_listings
 listing_id                        | order_items
 listing_id                        | profile_listings
 listing_id                        | raffle_drop_entry_listings
 listing_id                        | story_listings
 listing_id                        | time_listing_events
 listing_id                        | user_reports
 listing_id                        | user_strikes
 live_clip_id                      | hits
 livestream_tag_id                 | keyword_landing_pages
 local_pickup_request_id           | shipments
 loyalty_achievement_group_id      | loyalty_achievement_definition
 loyalty_program_id                | loyalty_achievement_definition
 loyalty_program_id                | loyalty_achievement_group
 loyalty_program_id                | loyalty_reward_definition
 loyalty_program_id                | loyalty_user_achievement_progress
 loyalty_program_id                | user_loyalty_status
 loyalty_reward_definition_id      | coupons
 main_classifier_type_id           | product_profile_types
 market_listing_id                 | listings
 member_id                         | team_members
 member_user_id                    | loyalty_user_achievement_progress
 member_user_id                    | user_loyalty_status
 migrated_product_id               | products
 muted_user_id                     | notification_mutes
 new_shipment_id                   | shipments
 object_id                         | entity_relationships
 object_id                         | user_object_action
 old_shipment_id                   | shipments
 order_id                          | coupon_usages
 order_id                          | gifting_preferences
 order_id                          | handling_charges
 order_id                          | live_clips
 order_id                          | order_items
 order_id                          | order_records
 order_id                          | order_taxes
 order_id                          | quotations
 order_id                          | raffle_drop_entry_orders
 order_id                          | rating_answers
 order_id                          | scheduled_early_payout_earnings_completion
 order_id                          | seller_order_cancellation_reasons
 order_id                          | shipping_credit_usages
 order_id                          | user_loyalty_status
 order_item_id                     | cancellation_requests
 order_item_id                     | deal_proposal
 order_item_id                     | hits
 order_item_id                     | intakes
 order_item_id                     | item_disputes
 order_item_id                     | ledger_transactions
 order_item_id                     | ts_actions
 order_item_id                     | user_strikes
 order_item_id                     | verification_requests
 order_tax_id                      | order_tax_transactions
 original_shipment_id              | shipments
 original_shipment_id              | shipping_adjustments
 original_shipping_profile_id      | shipping_profiles
 overrider_id                      | premier_shop
 owner_id                          | ledger_accounts
 owner_id                          | team_member_invites
 owner_id                          | team_members
 pack_id                           | pack_entries
 page_type_id                      | page_views
 parent_id                         | categories
 parent_id                         | classifier_values
 parent_id                         | ledger_transactions
 parent_id                         | product_profile_types
 parent_id                         | reportreasons
 parent_id                         | support_report_reasons
 parent_id                         | ts_tags
 parent_id                         | ts_violations
 parent_id                         | user_reports
 parent_line_item_id               | invoice_line_items
 parent_line_item_id               | statement_line_item
 participant_id                    | conversation_group_participants
 payment_id                        | community_boost_contributions
 payment_id                        | orders
 payment_id                        | payment_transactions
 payment_id                        | tips
 payment_id                        | verification_requests
 payment_transaction_id            | payment_refund_transaction_audit_logs
 payout_batch_id                   | payouts
 pickup_details_id                 | pickup_requests
 pickup_details_id                 | seller_default_shipping_settings
 pickup_details_id                 | seller_livestream_shipping_settings
 pinned_marketplace_shipment_id    | shipping_credits
 platform_charge_id                | shipping_adjustments
 previous_bid                      | ad_auctions
 previous_shipping_profile_id      | shipping_profiles
 primary_category_id               | livestream_tags
 product_attribute_id              | catalog_product_type_attributes
 product_category_id               | shipment_items
 product_id                        | api_product_attributes
 product_id                        | catalog_product_categories
 product_id                        | listing_review
 product_id                        | listings
 product_id                        | offers
 product_id                        | order_items
 product_id                        | product_classifiers
 product_id                        | product_profiles
 product_id                        | product_tags_through
 product_id                        | product_videos
 product_id                        | raffle_drops
 product_id                        | unique_items
 product_profile_descriptor_id     | product_profiles
 product_profile_type_id           | categories
 product_profile_type_id           | listing_conditions
 product_profile_type_id           | product_profile_descriptors
 product_profile_type_id           | products
 product_profile_type_id           | profile_type_classifier_values
 product_profile_type_id           | profile_type_classifiers
 product_tag_id                    | product_tags_through
 product_type_id                   | catalog_product_type_attributes
 product_type_id                   | catalog_products
 product_type_id                   | category_catalog_product_types
 proposing_user_id                 | deal_proposal
 purge_id                          | auto_action_state
 purge_id                          | ts_actions
 question_id                       | question_choices
 question_id                       | rating_answers
 question_id                       | survey_user_answers
 quotation_id                      | order_taxes
 raffle_drop_entry_id              | raffle_drop_entry_shares
 raffle_drop_id                    | raffle_drop_bookmarks
 raffle_drop_id                    | raffle_drop_entries
 rating_answer_id                  | seller_review_response
 recipient_id                      | shipments
 recipient_id                      | tips
 recipient_user_id                 | gifting_preferences
 reference_id                      | videos
 referral_challenge_progress_id    | referral_challenge_milestone_progress
 referral_id                       | referral_credit_pending_reveal
 referral_user_id                  | referrer_seen_credit_received
 referred_id                       | seller_referral_commissions
 referred_user_id                  | referral_challenge_referred_user
 referred_user_id                  | referral_claims
