               table_name               | column_name |                    sequence_name                     | sequence_last_value
----------------------------------------+-------------+------------------------------------------------------+---------------------
 order_tax_transactions                 | id          | public.order_tax_transactions_id_seq                 |             1610779
 product_profiles                       | id          | public.product_profiles_id_seq                       |              499699
 user_device                            | id          | public.user_device_id_seq                            |              354558
 listings                               | id          | public.listings_id_seq                               |              334295
 order_taxes                            | id          | public.order_taxes_id_seq                            |              330708
 quotations                             | id          | public.quotations_id_seq                             |              322331
 users                                  | id          | public.users_id_seq                                  |              305962
 images                                 | id          | public.images_id_seq                                 |              170777
 addresses                              | id          | public.addresses_id_seq                              |              107880
 cards                                  | id          | public.cards_id_seq                                  |              103767
 catalog_product_categories             | id          | public.catalog_product_categories_id_seq             |               98843
 catalog_products                       | id          | public.catalog_products_id_seq                       |               98788
 products                               | id          | public.products_id_seq                               |               76079
 imported_contacts                      | id          | public.imported_contacts_id_seq                      |               66635
 user_object_action                     | id          | public.user_object_action_id_seq                     |               33007
 payout_batches                         | id          | public.payout_batches_id_seq                         |               24281
 payments                               | id          | public.payments_id_seq                               |               23937
 raffle_drop_entry_shares               | id          | public.raffle_drop_entry_shares_id_seq               |               23624
 orders                                 | id          | public.orders_id_seq                                 |               21446
 order_items                            | id          | public.order_items_id_seq                            |               21391
 story_user_actions                     | id          | public.story_user_actions_id_seq                     |               21142
 payment_transactions                   | id          | public.payment_transactions_id_seq                   |               20847
 intakes                                | id          | public.intakes_id_seq                                |               18007
 listing_review                         | id          | public.listing_review_id_seq                         |               17322
 videos                                 | id          | public.videos_id_seq                                 |               17322
 order_records                          | id          | public.order_records_id_seq                          |               17111
 invoice_line_items                     | id          | public.invoice_line_items_id_seq                     |               13922
 ledger_transactions                    | id          | public.ledger_transactions_id_seq                    |               11351
 shipments                              | id          | public.shipments_id_seq                              |               11313
 sharing                                | id          | public.sharing_id_seq                                |               11264
 product_classifiers                    | id          | public.product_classifiers_id_seq                    |               10504
 listing_properties                     | id          | public.listing_properties_id_seq                     |                5292
 user_state                             | id          | public.user_state_id_seq                             |                4021
 invoices                               | id          | public.invoices_id_seq                               |                2909
 ts_addresses                           | id          | public.ts_addresses_id_seq                           |                2669
 share_image                            | id          | public.share_image_id_seq                            |                2431
 notification_settings                  | id          | public.notification_settings_id_seq                  |                2146
 seller_livestream_shipping_settings    | id          | public.seller_livestream_shipping_settings_id_seq    |                1973
 shipping_profiles                      | id          | public.shipping_profiles_id_seq                      |                1959
 page_views                             | id          | public.page_views_id_seq                             |                1839
 vods_view                              | id          | public.vods_view_id_seq                              |                1817
 entity_relationships                   | id          | public.entity_relationships_id_seq                   |                1553
 pack_entries                           | id          | public.pack_entries_id_seq                           |                1472
 keyword_landing_pages                  | id          | public.keyword_landing_pages_id_seq                  |                1458
 live_clip_recording_info               | id          | public.live_clip_recording_info_id_seq               |                1384
 raffle_drop_entries                    | id          | public.raffle_drop_entries_id_seq                    |                1370
 referral_codes                         | id          | public.referral_codes_id_seq                         |                1324
 live_clips                             | id          | public.live_clips_id_seq                             |                1314
 live_clip_user_actions                 | id          | public.live_clip_user_actions_id_seq                 |                1313
 share_url                              | id          | public.share_url_id_seq                              |                1236
 shipment_items                         | id          | public.shipment_items_id_seq                         |                1164
 bulk_imported_listings                 | id          | public.bulk_imported_listings_id_seq                 |                1163
 currency_conversions                   | id          | public.currency_conversions_id_seq                   |                 873
 stories                                | id          | public.stories_id_seq                                |                 867
 gifting_preferences                    | id          | public.gifting_preferences_id_seq                    |                 864
 ts_users                               | id          | public.ts_users_id_seq                               |                 810
 deal_proposal                          | id          | public.deal_proposal_id_seq                          |                 734
 avatax_requests                        | id          | public.avatax_requests_id_seq                        |                 722
 user_external_oauth_ids                | id          | public.user_external_oauth_ids_id_seq                |                 703
 notification_mutes                     | id          | public.notification_mutes_id_seq                     |                 651
 tax_line_items                         | id          | public.tax_line_items_id_seq                         |                 615
 user_reports                           | id          | public.user_reports_id_seq                           |                 613
 item_disputes                          | id          | public.item_disputes_id_seq                          |                 538
 tax_input_items                        | id          | public.tax_input_items_id_seq                        |                 515
 rating_answers                         | id          | public.rating_answers_id_seq                         |                 468
 verification_request_line_items        | id          | public.verification_request_line_items_id_seq        |                 459
 verification_requests                  | id          | public.verification_requests_id_seq                  |                 455
 story_listings                         | id          | public.story_listings_id_seq                         |                 446
 categories                             | id          | public.categories_id_seq                             |                 444
 packs                                  | id          | public.packs_id_seq                                  |                 415
 raffle_drops                           | id          | public.raffle_drops_id_seq                           |                 400
 verification_submissions               | id          | public.verification_submissions_id_seq               |                 352
 tax_transactions                       | id          | public.tax_transactions_id_seq                       |                 345
 hits                                   | id          | public.hits_id_seq                                   |                 339
 recurring_live_schedules               | id          | public.recurring_live_schedules_id_seq               |                 324
 coupons                                | id          | public.coupons_id_seq                                |                 320
 livestream_ad                          | id          | public.livestream_ad_id_seq                          |                 307
 payouts                                | id          | public.payouts_id_seq                                |                 306
 referral_fraud                         | id          | public.referral_fraud_id_seq                         |                 291
